ticker,market,sector,name,market_cap,rank,as_of
005930,KOSPI,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",삼성전자,643605600000000.0,1,2025-12-31
000660,KOSPI,"반도체,컴퓨터,통신기기 제조,도매",SK하이닉스,415169400000000.0,2,2025-12-31
373220,KOSPI,"2차전지 (소형,ESS,자동차전지)",LG에너지솔루션,96313300000000.0,3,2025-12-31
207940,KOSPI,바이오의약품,삼성바이오로직스,78483000000000.0,4,2025-12-31
005380,KOSPI,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",현대차,59331000000000.0,5,2025-12-31
329180,KOSPI,"선박, 해양플랜트 및 엔진기계 등",HD현대중공업,51685800000000.0,6,2025-12-31
034020,KOSPI,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",두산에너빌리티,49228600000000.0,7,2025-12-31
105560,KOSPI,-,KB금융,48216800000000.0,8,2025-12-31
000270,KOSPI,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",기아,47332900000000.0,9,2025-12-31
012450,KOSPI,"항공기엔진,특수방산장비 제조/정비사업",한화에어로스페이스,46038800000000.0,10,2025-12-31
068270,KOSPI,"램시마, 트룩시마, 허쥬마",셀트리온,42557300000000.0,11,2025-12-31
028260,KOSPI,"도소매, 건설, 남자용 정장 제조업 등",삼성물산,41332600000000.0,12,2025-12-31
402340,KOSPI,지주회사,SK스퀘어,41322400000000.0,13,2025-12-31
055550,KOSPI,금융지주회사,신한지주,37817800000000.0,14,2025-12-31
035420,KOSPI,포털 서비스 및 온라인 광고,NAVER,37756700000000.0,15,2025-12-31
042660,KOSPI,선박 제조,한화오션,34206000000000.0,16,2025-12-31
012330,KOSPI,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",현대모비스,32240300000000.0,17,2025-12-31
015760,KOSPI,"전력자원개발,발전,송전,전력용기자재확보",한국전력,31888800000000.0,18,2025-12-31
032830,KOSPI,"생명보험,부동산 임대",삼성생명,31312400000000.0,19,2025-12-31
009540,KOSPI,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",HD한국조선해양,30033100000000.0,20,2025-12-31
267260,KOSPI,"변압기, 고압차단기, 회전기, 배전반 등",HD현대일렉트릭,29193000000000.0,21,2025-12-31
010130,KOSPI,"연,아연괴 제조,판매",고려아연,26648800000000.0,22,2025-12-31
035720,KOSPI,인터넷 서비스(인터넷 광고),카카오,26312700000000.0,23,2025-12-31
086790,KOSPI,기타 금융,하나금융지주,26057900000000.0,24,2025-12-31
051910,KOSPI,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",LG화학,25425000000000.0,25,2025-12-31
